Role,Company,Skills,Skill_Count,Demand_Level
Unikraft Tooling Engineer [,Unikraft,"Golang, Cloud",2,Low
Cast AI Senior Software Engineer [,Cast AI,"Golang, Software, Senior",3,Low
Valon Mortgage Senior Data Engineer [,Valon Mortgage,"Design, SaaS, Python",3,Low
Extend Principal Data Engineer [,Extend,"Design, Python, Technical",3,Low
Quanata Cloud Enablement Engineer US [,Quanata,"Security, Technical, Software",3,Low
"Contact Government Services, LLC Senior Veritas eDiscovery Platform Engineer [","Contact Government Services, LLC","System, Technical, Support",3,Low
Prove Senior Software Engineer [,Prove,"Software, Security, Senior",3,Low
Thermal Works Technical Writer & Product Engineer [,Thermal Works,"System, Technical, Writer",3,Low
Precision AQ Software Engineer II [,Precision AQ,"Software, Technical, Support",3,Low
saas.group Senior Platform Engineer [,saas.group,"Support, Growth, Web",3,Low
Bold Business Lead AI Engineer & Technical Architect [,Bold Business,"Architect, Technical, Lead",3,Low
Vistas Recruitment Senior Backend Engineer UK [,Vistas Recruitment,"Golang, Senior, Recruiter",3,Low
Monzo Lead Analytics Engineer Borrowing [,Monzo,"Financial, Edu, Bank",3,Low
Business Wire Senior Data Engineer [,Business Wire,"Senior, Engineering",2,Low
Join Full stack Staff Engineer [,Join,"Golang, Design, SaaS",3,Low
Imagine Pediatrics Staff Data Engineer [,Imagine Pediatrics,"Support, Operational, Analytics",3,Low
Sanctuary Computer Senior Frontend Developer [,Sanctuary Computer,"Senior, Front End, Developer",3,Low
Andromeda Cluster Senior Site Reliability Engineer AI Infrastructure [,Andromeda Cluster,"Design, Training, Technical",3,Low
Syner-G Automation Engineer [,Syner-G,"Consulting, Support, Growth",3,Low
"Chime Financial, Inc Data Governance Engineer [","Chime Financial, Inc","Python, Technical, Developer",3,Low
SuperPlane Product Engineer [,SuperPlane,"Senior, Executive",2,Low
Anduril Industries Network Engineer Factory Systems and Operational Technology [,Anduril Industries,"Design, System, Security",3,Low
"Trunk Tools, Inc. ML Engineer [","Trunk Tools, Inc.","Design, System, Software",3,Low
WorkWave WorkWave Senior Data Analytics Engineer [,WorkWave,"Technical, Senior, Analytics",3,Low
Pivotal Health Data Engineer [,Pivotal Health,"Design, Salesforce, Python",3,Low
Vistas Recruitment Senior Product Engineer UK [,Vistas Recruitment,"Golang, Senior, Recruiter",3,Low
Bridgewater Associates Senior Security Engineer [,Bridgewater Associates,"Security, Technical, Recruiter",3,Low
Octo Horizon Software Engineer C [,Octo Horizon,"Technical, Cloud, Developer",3,Low
Unikraft Tooling Engineer [,Unikraft,"Golang, Engineer",2,Low
Solutus Legal Search Director of Legal Operations [,Solutus Legal Search,"Director, Salesforce, System",3,Low
MLB Network Counsel Business & Legal Affairs [,MLB Network,"SaaS, Security, Support",3,Low
TENEX.AI Territory Account Manager [,TENEX.AI,"Manager, SaaS, Security",3,Low
Clariti Cloud Inc. Technical Account Manager [,Clariti Cloud Inc.,"Manager, Technical, Lead",3,Low
Zeta Global Senior Account Executive Publishers [,Zeta Global,"System, Senior, Marketing",3,Low
Sumo Logic Account Executive III [,Sumo Logic,"SaaS, Salesforce, Security",3,Low
Caylent Principal Customer Solutions Architect [,Caylent,"Architect, Design, Amazon",3,Low
Octo Horizon Software Engineer C [,Octo Horizon,"Engineer, Technical, Developer",3,Low
Vonage Healthcare Account Executive [,Vonage,"Software, Growth, API",3,Low
Smart Working Solutions Senior App & Frontend Developer AS233 [,Smart Working Solutions,"Front End, Developer, Embedded",3,Low
Junction Data Scientist [,Junction,"Python, Technical, Management",3,Low
Pave Bank Senior Site Reliability Engineer [,Pave Bank,"Crypto, System, Security",3,Low
Prophecy Partner Sales Manager [,Prophecy,"Manager, Design, Operational",3,Low
DV Trading Senior Cloud Engineer [,DV Trading,"Crypto, Cryptocurrency, Security",3,Low
ecosio Senior EDI e invoicing Integration Engineer with English and German French Italian Chinese [,ecosio,"SaaS, System, Technical",3,Low
UJET Senior Site Reliability Engineer [,UJET,"Design, System, Technical",3,Low
Hightouch Product Lead Agentic Ads Platform [,Hightouch,"Strategist, Test, Growth",3,Low
Signifyd Senior Software Engineer Cloud Platform [,Signifyd,"Software, System, Architect",3,Low
Insider One Frontend Developer Vue.js [,Insider One,"Front End, Developer, Design",3,Low
540 Senior Solutions Architect [,540,"Architect, Design, System",3,Low
GuidePoint Security CNAPP Security Engineer Mid Atlantic region [,GuidePoint Security,"InfoSec, Security, Code",3,Low
Redis Technical Support L3 Weekends [,Redis,"Redis, Sysadmin, Technical",3,Low
DoiT Senior Cloud Architect ML AI [,DoiT,"Architect, Technical, Growth",3,Low
CloudWalk Senior Engineer Platform Devops [,CloudWalk,"Security, Technical, Programmer",3,Low
Xsolla Operations Engineer Kuala Lumpur [,Xsolla,"Jira, Game, Gaming",3,Low
Trilogy Federal Cyber Security Analyst [,Trilogy Federal,"Security, Analyst, System",3,Low
Sezzle Senior Security Infrastructure Engineer [,Sezzle,"Security, Developer, Fintech",3,Low
Makpar IT Specialist II [,Makpar,"Training, Consulting, Technical",3,Low
OakNorth Staff Engineer Digital Lending [,OakNorth,"SaaS, React, Security",3,Low
WISE INTEGRATION Freelance Senior Full Stack Software Architect and Collateral Management Specialist [,WISE INTEGRATION,"Architect, Software, Design",3,Low
SharkNinja Platform Administrator [,SharkNinja,"Design, Amazon, System",3,Low
MinIO Site Reliability Engineer US West [,MinIO,"Software, Leader, Reliability",3,Low
iCapital DevOps Database Assistant Vice President [,iCapital,"Assistant, Security, Testing",3,Low
Life360 Staff DevOps Engineer [,Life360,"Security, Mobile, Engineer",3,Low
Graphcore Engineering Manager Workload Management [,Graphcore,"Manager, Technical, Software",3,Low
GHX Senior Software Engineer Python Django PostgreSQL and Vue.js [,GHX,"Python, Django, Software",3,Low
"Crunchyroll, LLC Staff DevOps Engineer [","Crunchyroll, LLC","Support, Software, Cloud",3,Low
MEMX DevOps Engineer [,MEMX,"System, Security, Software",3,Low
Kunai Senior Cloud Engineer [,Kunai,"Full-Stack, Financial, Fintech",3,Low
Nearform Technical Lead DevOps [,Nearform,"Technical, Lead, Senior",3,Low
InfStones DevOps Engineer [,InfStones,"Amazon, Web3, System",3,Low
Ubiminds Mid Level DevOps Engineer CI CD Optimization [,Ubiminds,"Design, HR, System",3,Low
Ping Identity Senior Manager Site Reliability Engineer [,Ping Identity,"Manager, SaaS, Cloud",3,Low
Ping Identity Senior Site Reliability Engineer [,Ping Identity,"Design, Software, Cloud",3,Low
Accenture Federal Services Cloud Engineer [,Accenture Federal Services,"Design, Security, Training",3,Low
Parloa Forward Deployed Engineer DevOps [,Parloa,"Technical, Code, Cloud",3,Low
Alpaca Senior Software Engineer India [,Alpaca,"Software, Crypto, Technical",3,Low
Versaterm DevSecOps Engineer DroneSense [,Versaterm,"Security, Growth, Engineer",3,Low
Anduril Industries Senior DevOps Engineer [,Anduril Industries,"Ansible, System, Security",3,Low
Higher Logic DevOps Engineer [,Higher Logic,"SaaS, Technical, Engineer",3,Low
CI&T Job 27246 DevOps Strategy & Culture Lead Brazil [,CI&T,"Design, Consulting, Technical",3,Low
Ubiminds Senior Full Stack Engineer Ruby React [,Ubiminds,"React, Design, System",3,Low
MrBeast QA Engineer [,MrBeast,"Testing, Test, Quality Assurance",3,Low
2100 NVIDIA USA Senior DevOps Architect [,2100 NVIDIA USA,"Architect, Design, Embedded",3,Low
Ubiminds Senior Full Stack Software Engineer .NET Core Angular [,Ubiminds,"Software, Design, HR",3,Low
Ubiminds Full Stack Engineer [,Ubiminds,"Design, SaaS, System",3,Low
Empassion Senior Full Stack Software Engineer [,Empassion,"Software, Design, System",3,Low
Quantum Metric Account Executive Italian Speaking [,Quantum Metric,"SaaS, Training, Support",3,Low
Zinkworks Senior Full Stack Engineer [,Zinkworks,"Front End, Security, Technical",3,Low
Caylent Senior Account Executive [,Caylent,"Amazon, Security, Training",3,Low
Tenstorrent Staff Software Engineer Cloud Infrastructure [,Tenstorrent,"Software, Cloud, Operational",3,Low
singularads.com Meta Ads Manager + Creative Producer AI Native [,singularads.com,"Marketing, Ads",2,Low
Subbly Customer Success Representative [,Subbly,Customer Support,1,Low
EverAI Mid Senior AI Cinematic Video Editor [,EverAI,"Video Editor, Long-Form Video Content, Motion Graphic Design",3,Low
EverAI Mid Senior AI Video Artist [,EverAI,"Marketing, Video",2,Low
Highspot Senior Solution Consultant [,Highspot,"Consultant, Salesforce, Technical",3,Low
GuidePoint Security Account Executive [,GuidePoint Security,"Salesforce, Security, Travel",3,Low
GuidePoint Security CNAPP Security Engineer Mid Atlantic region [,GuidePoint Security,"Security, Code, C",3,Low
Obsidian Security Sr Sourcer GTM Leadership [,Obsidian Security,"SaaS, Security, Technical",3,Low
Oasis Security Regional Account Executive [,Oasis Security,"System, Security, Management",3,Low
Cogent Security Field Marketing Manager [,Cogent Security,"Manager, Security, Executive",3,Low
Cogent Security Manager Paid Social and Digital Acquisition [,Cogent Security,"Manager, SaaS, Security",3,Low
Cogent Security Director of Product Marketing [,Cogent Security,"Director, Security, Technical",3,Low
Armis Security Strategic Partner Manager GSI [,Armis Security,"Manager, Security, Growth",3,Low
Safe Security Product Marketing Manager [,Safe Security,"Manager, System, Security",3,Low
Obsidian Security Staff Platform Security Engineer Office of the CISO [,Obsidian Security,"Security, SaaS, Software",3,Low
"Envoy Global, Inc. DevOps Lead Engineer [","Envoy Global, Inc.","Design, Security, Software",3,Low
Salt Security API Security Engineer [,Salt Security,"Security, API, Engineer",3,Low
AuditBoard Enterprise Account Executive [,AuditBoard,"SaaS, Support, Growth",3,Low
Prophet Security Backend Software Engineer [,Prophet Security,"Golang, Software, Security",3,Low
